"Positions for CUSTACCS as of 05:17 PM ET, 06/10/2025","","","","","","","","","","","","","",""
"GLD 12/19/2025 319.00 C","CALL SPDR GOLD TR $319 EXP 12/19/25","-1","$13.025","-$0.225","-1.7%","-$1302.5","$22.5","1.7%","-$1110.34","-$192.16","-17.31%","N/A","--","Option"
"GLD 12/19/2025 320.00 C","CALL SPDR GOLD TR $320 EXP 12/19/25","1","$12.675","-$0.2","-1.55%","$1267.5","-$20.00","-1.55%","$1084.66","$182.84","16.86%","N/A","--","Option"
"QQQ 08/15/2025 525.00 P","PUT INVESCO QQQ TR $525 EXP 08/15/25","1","$12.945","-$1.14","-8.09%","$1294.5","-$114.00","-8.09%","$4397.66","-$3103.16","-70.56%","N/A","--","Option"
"QQQ 08/15/2025 530.00 C","CALL INVESCO QQQ TR $530 EXP 08/15/25","-1","$21.705","$1.5226","7.54%","-$2170.5","-$152.26","-7.54%","-$455.33","-$1715.17","-376.69%","N/A","--","Option"
"QQQ 08/15/2025 530.00 P","PUT INVESCO QQQ TR $530 EXP 08/15/25","-1","$14.63","-$1.285","-8.07%","-$1463.00","$128.5","8.07%","-$4753.21","$3290.21","69.22%","N/A","--","Option"
"QQQ 08/15/2025 535.00 C","CALL INVESCO QQQ TR $535 EXP 08/15/25","1","$18.62","$1.45","8.44%","$1862.00","$145.00","8.44%","$376.66","$1485.34","394.35%","N/A","--","Option"
"QQQ 09/30/2025 502.00 P","PUT INVESCO QQQ TR $502 EXP 09/30/25","1","$12.1","-$0.8314","-6.43%","$1210.00","-$83.14","-6.43%","$1780.66","-$570.66","-32.05%","N/A","--","Option"
"QQQ 09/30/2025 504.00 P","PUT INVESCO QQQ TR $504 EXP 09/30/25","-1","$12.535","-$0.8541","-6.38%","-$1253.5","$85.41","6.38%","-$1839.34","$585.84","31.85%","N/A","--","Option"
"QQQ 09/30/2025 534.00 C","CALL INVESCO QQQ TR $534 EXP 09/30/25","-2","$26.705","$1.5006","5.95%","-$5341.00","-$300.12","-5.95%","-$1003.65","-$4337.35","-432.16%","N/A","--","Option"
"QQQ 09/30/2025 535.00 C","CALL INVESCO QQQ TR $535 EXP 09/30/25","2","$26.085","$1.4708","5.98%","$5217.00","$294.16","5.98%","$974.32","$4242.68","435.45%","N/A","--","Option"
"SPY 06/30/2025 564.00 P","PUT SPDR S&P 500 $564 EXP 06/30/25","1","$0.98","-$0.2581","-20.85%","$98.00","-$25.81","-20.85%","$1735.66","-$1637.66","-94.35%","N/A","--","Option"
"SPY 06/30/2025 565.00 P","PUT SPDR S&P 500 $565 EXP 06/30/25","-1","$1.02","-$0.2708","-20.98%","-$102.00","$27.08","20.98%","-$1770.29","$1668.29","94.24%","N/A","--","Option"
"SPY 06/30/2025 576.00 P","PUT SPDR S&P 500 $576 EXP 06/30/25","1","$1.68","-$0.465","-21.68%","$168.00","-$46.5","-21.68%","$856.66","-$688.66","-80.39%","N/A","--","Option"
"SPY 06/30/2025 577.00 C","CALL SPDR S&P 500 $577 EXP 06/30/25","-1","$26.865","$2.0396","8.22%","-$2686.5","-$203.96","-8.22%","-$305.33","-$2381.17","-779.87%","N/A","--","Option"
"SPY 06/30/2025 577.00 P","PUT SPDR S&P 500 $577 EXP 06/30/25","-1","$1.76","-$0.49","-21.78%","-$176.00","$49.00","21.78%","-$882.34","$706.34","80.05%","N/A","--","Option"
"SPY 06/30/2025 579.00 C","CALL SPDR S&P 500 $579 EXP 06/30/25","1","$25.02","$1.9814","8.6%","$2502.00","$198.14","8.6%","$277.66","$2224.34","801.1%","N/A","--","Option"
"SPY 08/15/2025 565.00 P","PUT SPDR S&P 500 $565 EXP 08/15/25","1","$5.81","-$0.5399","-8.5%","$581.00","-$53.99","-8.5%","$2219.66","-$1638.66","-73.82%","N/A","--","Option"
"SPY 08/15/2025 566.00 P","PUT SPDR S&P 500 $566 EXP 08/15/25","-1","$5.95","-$0.55","-8.46%","-$595.00","$55.00","8.46%","-$2255.28","$1660.28","73.62%","N/A","--","Option"
"SPY 08/15/2025 569.00 P","PUT SPDR S&P 500 $569 EXP 08/15/25","1","$6.38","-$0.59","-8.46%","$638.00","-$59.00","-8.46%","$1491.66","-$853.66","-57.23%","N/A","--","Option"
"SPY 08/15/2025 570.00 P","PUT SPDR S&P 500 $570 EXP 08/15/25","-1","$6.53","-$0.6013","-8.43%","-$653.00","$60.13","8.43%","-$1521.3","$868.3","57.08%","N/A","--","Option"
"SPY 08/15/2025 578.00 C","CALL SPDR S&P 500 $578 EXP 08/15/25","-2","$35.05","$1.9099","5.76%","-$7010.00","-$381.98","-5.76%","-$3292.59","-$3717.41","-112.9%","N/A","--","Option"
"SPY 08/15/2025 579.00 C","CALL SPDR S&P 500 $579 EXP 08/15/25","2","$34.275","$1.9337","5.98%","$6855.00","$386.74","5.98%","$3198.32","$3656.68","114.33%","N/A","--","Option"
"XLB 06/20/2025 83.00 P","PUT SPDR MATERIALS $83 EXP 06/20/25","2","$0.64","$0.475","287.88%","$128.00","$95.00","287.88%","$375.96","-$247.96","-65.95%","N/A","--","Option"
"XLB 06/20/2025 84.00 C","CALL SPDR MATERIALS $84 EXP 06/20/25","-2","$5.35","$0.8014","17.62%","-$1070.00","-$160.28","-17.62%","-$282.68","-$787.32","-278.52%","N/A","--","Option"
"XLB 06/20/2025 84.00 P","PUT SPDR MATERIALS $84 EXP 06/20/25","-1","$0.155","-$0.0175","-10.14%","-$15.5","$1.75","10.14%","-$61.34","$45.84","74.73%","N/A","--","Option"
"XLB 06/20/2025 85.00 C","CALL SPDR MATERIALS $85 EXP 06/20/25","2","$4.00","$0.4426","12.44%","$800.00","$88.52","12.44%","$233.32","$566.68","242.88%","N/A","--","Option"
"XLB 06/20/2025 85.00 P","PUT SPDR MATERIALS $85 EXP 06/20/25","-1","$2.535","$2.355","308.33%","-$253.5","-$235.5","-1308.33%","-$172.34","-$81.16","-47.09%","N/A","--","Option"
"XLB 06/20/2025 86.00 C","CALL SPDR MATERIALS $86 EXP 06/20/25","-1","$3.17","$0.4645","17.17%","-$317.00","-$46.45","-17.17%","-$62.02","-$254.98","-411.13%","N/A","--","Option"
"XLB 06/20/2025 86.00 P","PUT SPDR MATERIALS $86 EXP 06/20/25","1","$0.27","-$0.0569","-17.41%","$27.00","-$5.69","-17.41%","$207.66","-$180.66","-87%","N/A","--","Option"
"XLB 06/20/2025 87.00 C","CALL SPDR MATERIALS $87 EXP 06/20/25","1","$2.265","$0.4003","21.47%","$226.5","$40.03","21.47%","$91.66","$134.84","147.11%","N/A","--","Option"
"XLB 06/20/2025 87.00 P","PUT SPDR MATERIALS $87 EXP 06/20/25","-1","$0.4","-$0.0849","-17.51%","-$40.00","$8.49","17.51%","-$238.33","$198.33","83.22%","N/A","--","Option"
"XLB 06/20/2025 88.00 C","CALL SPDR MATERIALS $88 EXP 06/20/25","-1","$1.575","$0.4603","41.29%","-$157.5","-$46.03","-41.29%","-$48.02","-$109.48","-227.99%","N/A","--","Option"
"XLB 06/20/2025 88.00 P","PUT SPDR MATERIALS $88 EXP 06/20/25","1","$1.015","$0.2811","38.3%","$101.5","$28.11","38.3%","$261.66","-$160.16","-61.21%","N/A","--","Option"
"XLB 06/20/2025 89.00 C","CALL SPDR MATERIALS $89 EXP 06/20/25","1","$0.715","$0.0021","0.29%","$71.5","$0.21","0.29%","$47.66","$23.84","50.02%","N/A","--","Option"
"XLB 06/20/2025 89.00 P","PUT SPDR MATERIALS $89 EXP 06/20/25","-1","$2.71","$1.3786","103.55%","-$271.00","-$137.86","-103.55%","-$294.33","$23.33","7.93%","N/A","--","Option"
"XLB 06/20/2025 91.00 C","CALL SPDR MATERIALS $91 EXP 06/20/25","-1","$0.2","-$0.0796","-28.47%","-$20.00","$7.96","28.47%","-$37.34","$17.34","46.44%","N/A","--","Option"
"XLB 06/20/2025 92.00 C","CALL SPDR MATERIALS $92 EXP 06/20/25","1","$0.88","$0.7229","460.15%","$88.00","$72.29","460.15%","$13.66","$74.34","544.22%","N/A","--","Option"
"XLV 01/16/2026 131.00 P","PUT SPDR HEALTH CARE $131 EXP 01/16/26","1","$4.125","-$0.819","-16.57%","$412.5","-$81.9","-16.57%","$754.66","-$342.16","-45.34%","N/A","--","Option"
"XLV 01/16/2026 132.00 P","PUT SPDR HEALTH CARE $132 EXP 01/16/26","1","$3.93","-$1.3862","-26.08%","$393.00","-$138.62","-26.08%","$770.66","-$377.66","-49%","N/A","--","Option"
"XLV 01/16/2026 135.00 P","PUT SPDR HEALTH CARE $135 EXP 01/16/26","1","$5.45","-$1.0425","-16.06%","$545.00","-$104.25","-16.06%","$622.66","-$77.66","-12.47%","N/A","--","Option"
"XLV 01/16/2026 136.00 P","PUT SPDR HEALTH CARE $136 EXP 01/16/26","2","$6.3","-$0.688","-9.85%","$1260.00","-$137.6","-9.85%","$1588.32","-$328.32","-20.67%","N/A","--","Option"
"XLV 01/16/2026 138.00 P","PUT SPDR HEALTH CARE $138 EXP 01/16/26","-3","$7.375","-$0.6139","-7.68%","-$2212.5","$184.17","7.68%","-$2556.02","$343.52","13.44%","N/A","--","Option"
"XLV 01/16/2026 139.00 P","PUT SPDR HEALTH CARE $139 EXP 01/16/26","-1","$8.025","-$0.469","-5.52%","-$802.5","$46.9","5.52%","-$1189.34","$386.84","32.53%","N/A","--","Option"
"XLV 01/16/2026 140.00 P","PUT SPDR HEALTH CARE $140 EXP 01/16/26","-1","$8.55","-$0.4565","-5.07%","-$855.00","$45.65","5.07%","-$1209.34","$354.34","29.3%","N/A","--","Option"
"XLV 01/16/2026 141.00 P","PUT SPDR HEALTH CARE $141 EXP 01/16/26","1","$9.075","-$0.4525","-4.75%","$907.5","-$45.25","-4.75%","$1162.66","-$255.16","-21.95%","N/A","--","Option"
"XLV 01/16/2026 142.00 P","PUT SPDR HEALTH CARE $142 EXP 01/16/26","-1","$9.25","-$0.8088","-8.04%","-$925.00","$80.88","8.04%","-$1225.34","$300.34","24.51%","N/A","--","Option"
"XLV 01/16/2026 143.00 P","PUT SPDR HEALTH CARE $143 EXP 01/16/26","1","$10.975","$0.1736","1.61%","$1097.5","$17.36","1.61%","$1285.66","-$188.16","-14.64%","N/A","--","Option"
"XLV 01/16/2026 144.00 P","PUT SPDR HEALTH CARE $144 EXP 01/16/26","-1","$10.975","-$0.5758","-4.98%","-$1097.5","$57.58","4.98%","-$1359.34","$261.84","19.26%","N/A","--","Option"
"XLV 06/18/2026 130.00 P","PUT SPDR HEALTH CARE $130 EXP 06/18/26","1","$5.46","-$0.6736","-10.98%","$546.00","-$67.36","-10.98%","$665.66","-$119.66","-17.98%","N/A","--","Option"
"XLV 06/18/2026 140.00 P","PUT SPDR HEALTH CARE $140 EXP 06/18/26","3","$9.725","-$0.6329","-6.11%","$2917.5","-$189.87","-6.11%","$3858.98","-$941.48","-24.4%","N/A","--","Option"
"XLV 06/18/2026 145.00 P","PUT SPDR HEALTH CARE $145 EXP 06/18/26","-3","$12.8","-$0.5188","-3.9%","-$3840.00","$155.64","3.9%","-$4813.02","$973.02","20.22%","N/A","--","Option"
"XLV 06/18/2026 150.00 P","PUT SPDR HEALTH CARE $150 EXP 06/18/26","-1","$16.00","-$0.9314","-5.5%","-$1600.00","$93.14","5.5%","-$1646.34","$46.34","2.81%","N/A","--","Option"
"XLV 07/25/2025 135.00 P","PUT SPDR HEALTH CARE $135 EXP 07/25/25","1","$3.475","$0.1647","4.98%","$347.5","$76.84","28.39%","$270.66","$76.84","28.39%","N/A","--","Option"
"XLV 07/25/2025 135.50 P","PUT SPDR HEALTH CARE $135.5 EXP 07/25/25","-1","$3.205","-$0.3969","-11.02%","-$320.5","-$22.16","-7.43%","-$298.34","-$22.16","-7.43%","N/A","--","Option"
"XLV 09/19/2025 129.00 P","PUT SPDR HEALTH CARE $129 EXP 09/19/25","1","$1.25","-$1.272","-50.44%","$125.00","-$127.2","-50.44%","$378.66","-$253.66","-66.99%","N/A","--","Option"
"XLV 09/19/2025 132.00 P","PUT SPDR HEALTH CARE $132 EXP 09/19/25","-1","$2.52","-$0.83","-24.78%","-$252.00","$83.00","24.78%","-$495.34","$243.34","49.13%","N/A","--","Option"
"XLV 09/19/2025 136.00 P","PUT SPDR HEALTH CARE $136 EXP 09/19/25","1","$4.83","-$0.169","-3.38%","$483.00","-$16.9","-3.38%","$565.66","-$82.66","-14.61%","N/A","--","Option"
"XLV 09/19/2025 137.00 P","PUT SPDR HEALTH CARE $137 EXP 09/19/25","-1","$4.73","-$0.7897","-14.31%","-$473.00","$78.97","14.31%","-$617.34","$144.34","23.38%","N/A","--","Option"
"XLV 09/19/2025 144.00 C","CALL SPDR HEALTH CARE $144 EXP 09/19/25","-2","$2.73","$1.5126","124.25%","-$546.00","-$302.52","-124.25%","-$242.68","-$303.32","-124.99%","N/A","--","Option"
"XLV 09/19/2025 145.00 C","CALL SPDR HEALTH CARE $145 EXP 09/19/25","2","$1.185","$0.186","18.62%","$237.00","$37.2","18.62%","$205.32","$31.68","15.43%","N/A","--","Option"
"XLV 12/19/2025 132.00 P","PUT SPDR HEALTH CARE $132 EXP 12/19/25","1","$4.8","-$0.0548","-1.13%","$480.00","-$5.48","-1.13%","$593.66","-$113.66","-19.15%","N/A","--","Option"
"XLV 12/19/2025 134.00 P","PUT SPDR HEALTH CARE $134 EXP 12/19/25","-1","$5.375","-$0.2006","-3.6%","-$537.5","$20.06","3.6%","-$662.34","$124.84","18.85%","N/A","--","Option"
"XLV 12/19/2025 136.00 P","PUT SPDR HEALTH CARE $136 EXP 12/19/25","1","$6.4","-$0.0255","-0.4%","$640.00","-$2.55","-0.4%","$640.66","-$0.66","-0.1%","N/A","--","Option"
"XLV 12/19/2025 137.00 P","PUT SPDR HEALTH CARE $137 EXP 12/19/25","-1","$6.575","-$0.3372","-4.88%","-$657.5","$33.72","4.88%","-$689.34","$31.84","4.62%","N/A","--","Option"
"Futures Positions Market Value","--","--","--","--","--","$0.00","--","--","--","--","--","--","--","Schwab Futures"
"Futures Cash","--","--","--","--","--","$0.00","--","--","--","--","--","--","--","Schwab Futures"
"Cash & Cash Investments","--","--","--","--","--","$9818.55","-$32.28","-0.3276881237418573%","--","--","--","--","--","Cash and Money Market"
"Account Total","--","--","--","--","--","$3744.05","-$542.74","-12.66%","-$4802.89","-$1271.61","-26.48%","--","--","--"
