Watchlist 'S&P 400'

S&P 400
Symbol,Description,Company Name,Market Cap,Sector,Industry,Sub-Industry
RUN,SUNRUN INC COM,SUNRUN INC,"5,709 M",Industrials,Electrical Equipment,Electrical Components & Equipment
RYN,RAYONIER INC COM NPV,RAYONIER INC.,"6,086 M",Real Estate,Equity Real Estate Investment Trusts (REITs),Specialized REITs
SABR,SABRE CORP COM,SABRE CORP,"2,494 M",Information Technology,IT Services,Data Processing & Outsourced Services
SAFM,SANDERSON FARM INC COM,"SANDERSON FARMS, INC.","4,492 M",Consumer Staples,Food Products,Packaged Foods & Meats
SAIC,SCIENCE APPLICATION INTL CORP COM,SCIENCE APPLICATIONS INTERNATIONAL CORP,"4,879 M",Industrials,Professional Services,Research & Consulting Services
SAIL,SAILPOINT TECH HLDGS INC COM,SAILPOINT TECHNOLOGIES HOLDINGS INC,"6,068 M",Information Technology,Software,Systems Software
SAM,BOSTON BEER CO INC COM CL A,BOSTON BEER COMPANY INC,"4,331 M",Consumer Staples,Beverages,Brewers
SBNY,SIGNATURE BANK COM,SIGNATURE BANK,"13,711 M",Financials,Banks,Regional Banks
SBRA,SABRA HEALTH CARE REIT INC COM USD0.01,SABRA HEALTHCARE REIT INC,"3,143 M",Real Estate,Equity Real Estate Investment Trusts (REITs),Health Care REITs
SCI,SERVICE CORP INTL COM,SERVICE CORPORATION INTERNATIONAL,"11,191 M",Consumer Discretionary,Diversified Consumer Services,Specialized Consumer Services
SEDG,SOLAREDGE TECHNOLOGIES INC COM,SOLAREDGE TECHNOLOGIES INC,"16,814 M",Information Technology,Semiconductors & Semiconductor Equipment,Semiconductor Equipment
SEIC,SEI INVESTMENT CO COM,SEI INVESTMENTS COMPANY,"7,998 M",Financials,Capital Markets,Asset Management & Custody Banks
SF,STIFEL FINANCIAL CORP COM,STIFEL FINANCIAL CORP.,"6,762 M",Financials,Capital Markets,Investment Banking & Brokerage
SFM,SPROUTS FARMERS MARKETS INC COM,SPROUTS FARMERS MARKET INC,"2,992 M",Consumer Staples,Food & Staples Retailing,Food Retail
SGMS,SCIENTIFIC GAMES CORP COM,<empty>,<empty>,Consumer Discretionary,"Hotels, Restaurants & Leisure",Casinos & Gaming
SIGI,SELECTIVE INSURANCE GROUP COM,"SELECTIVE INSURANCE GROUP, INCORPORATED","4,812 M",Financials,Insurance,Property & Casualty Insurance
SIX,SIX FLAGS ENT CORP NEW COM,SIX FLAGS ENTERTAINMENT CORPORATION,"2,577 M",Consumer Discretionary,"Hotels, Restaurants & Leisure",Leisure Facilities
SKX,SKECHERS USA INC COM CL A,SKECHERS U.S.A. INCORPORATED,"6,362 M",Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Footwear
SLAB,SILICON LABORATORIES COM,SILICON LABORATORIES INC.,"5,484 M",Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors
SLG,SL GREEN RLTY CORP COM USD0.01(POST REV SPLT),SL GREEN REALTY CORP.,"3,772 M",Real Estate,Equity Real Estate Investment Trusts (REITs),Office REITs
SLGN,SILGAN HOLDINGS INC COM,SILGAN HOLDINGS INC.,"5,010 M",Materials,Containers & Packaging,Metal & Glass Containers
SLM,SLM CORP COM,SLM CORPORATION,"5,212 M",Financials,Consumer Finance,Consumer Finance
SMG,SCOTTS MIRACLE-GRO COMPANY COM CL A,SCOTTS MIRACLE-GRO CO,"5,402 M",Materials,Chemicals,Fertilizers & Agricultural Chemicals
SMTC,SEMTECH CORP COM,SEMTECH CORPORATION,"4,019 M",Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors
SNV,SYNOVUS FINANCIAL CORP COM,SYNOVUS FINANCIAL CORP.,"6,186 M",Financials,Banks,Regional Banks
SNX,TD SYNNEX CORP COM,TD SYNNEX CORP,"10,012 M",Information Technology,"Electronic Equipment, Instruments & Components",Technology Distributors
SON,SONOCO PRODUCTS CO COM,SONOCO PRODUCTS CO,"5,829 M",Materials,Containers & Packaging,Paper Packaging
SR,SPIRE INC COM,SPIRE INC,"4,058 M",Utilities,Gas Utilities,Gas Utilities
SRC,SPIRIT REALTY CAPITAL INC COM USD0.01(POST REV SPLIT),SPIRIT REALTY CAPITAL INC,"5,593 M",Real Estate,Equity Real Estate Investment Trusts (REITs),Retail REITs
SRCL,STERICYCLE INC COM,"STERICYCLE, INC.","4,602 M",Industrials,Commercial Services & Supplies,Environmental & Facilities Services
SSD,SIMPSON MFG CO INC COM,"SIMPSON MANUFACTURING CO., INC.","4,759 M",Industrials,Building Products,Building Products
STAA,STAAR SURGICAL CO COM,STAAR SURGICAL COMPANY,"3,160 M",Health Care,Health Care Equipment & Supplies,Health Care Supplies
STL,STERLING BANCORP D .463:1 EXC 2/1/22 947890109,STERLING BANCORP,"5,059 M",Financials,Banks,Regional Banks
STLD,STEEL DYNAMICS INC COM,STEEL DYNAMICS INC,"15,769 M",Materials,Metals & Mining,Steel
STOR,STORE CAP CORP COM USD0.01,STORE CAPITAL CORP,"7,716 M",Real Estate,Equity Real Estate Investment Trusts (REITs),Diversified REITs
SWX,SOUTHWEST GAS HOLDINGS INC COM,SOUTHWEST GAS CORPORATION,"6,230 M",Utilities,Gas Utilities,Gas Utilities
SXT,SENSIENT TECHNOLOGIES CORP COM,SENSIENT TECHNOLOGIES CORPORATION,"3,662 M",Materials,Chemicals,Specialty Chemicals
SYNA,SYNAPTICS INC COM,SYNAPTICS INCORPORATED,"5,971 M",Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors
SYNH,SYNEOS HEALTH INC COM CL A,SYNEOS HEALTH INC,"7,634 M",Health Care,Life Sciences Tools & Services,Life Sciences Tools & Services
TCBI,TEXAS CAPITAL BANCSHARES INC COM,"TEXAS CAPITAL BANCSHARES, INC.","2,804 M",Financials,Banks,Regional Banks
TDC,TERADATA CORPORATION COM,TERADATA CORPORATION,"4,042 M",Information Technology,Software,Systems Software
TDS,TELEPHONE & DATA SYSTEMS INC COM,TELEPHONE AND DATA SYSTEMS INC,"1,961 M",Communication Services,Wireless Telecommunication Services,Wireless Telecommunication Services
TECH,BIO-TECHNE CORP COM,BIO-TECHNE CORP,"14,400 M",Health Care,Life Sciences Tools & Services,Life Sciences Tools & Services
TEX,TEREX CORP COM,TEREX CORPORATION,"2,512 M",Industrials,Machinery,Construction Machinery & Heavy Trucks
TGNA,TEGNA INC COM,TEGNA INC,"4,874 M",Communication Services,Media,Broadcasting
THC,TENET HEALTHCARE CORP COM,TENET HEALTHCARE CORPORATION,"7,333 M",Health Care,Health Care Providers & Services,Health Care Facilities
THG,HANOVER INSURANCE GROUP COM,HANOVER INSURANCE GROUP INC,"5,201 M",Financials,Insurance,Property & Casualty Insurance
THO,THOR INDUSTRIES COM,THOR INDUSTRIES INCORPORATED,"4,149 M",Consumer Discretionary,Automobiles,Automobile Manufacturers
THS,TREEHOUSE FOODS INC COM,"TREEHOUSE FOODS, INC.","2,223 M",Consumer Staples,Food Products,Packaged Foods & Meats
TKR,TIMKEN CO COM,TIMKEN CO,"4,621 M",Industrials,Machinery,Industrial Machinery
TMHC,TAYLOR MORRISON HOME CORP COM,TAYLOR MORRISON HOME CORP,"3,431 M",Consumer Discretionary,Household Durables,Homebuilding
TNL,TRAVEL PLUS LEISURE CO COM,TRAVEL + LEISURE CO,"4,360 M",Consumer Discretionary,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines"
TOL,TOLL BROS INC COM,"TOLL BROTHERS, INC.","5,930 M",Consumer Discretionary,Household Durables,Homebuilding
TPH,TRI POINTE GROUP INC COM,TRI POINTE HOMES INC (DELAWARE),"2,186 M",Consumer Discretionary,Household Durables,Homebuilding
TPX,TEMPUR SEALY INTERNATIONAL INC COM,TEMPUR SEALY INTERNATIONAL INC,"4,404 M",Consumer Discretionary,Household Durables,Home Furnishings
TR,TOOTSIE ROLL INDUSTRIES INC COM,TOOTSIE ROLL INDUSTRIES INCORPORATED,"2,230 M",Consumer Staples,Food Products,Packaged Foods & Meats
TREE,LENDINGTREE INC COM,LENDINGTREE INC,791 M,Financials,Consumer Finance,Consumer Finance
TREX,TREX COMPANY INC COM,TREX COMPANY INC,"7,349 M",Industrials,Building Products,Building Products
TRGP,TARGA RESOURCES CORPORATION COM,TARGA RESOURCES CORP,"17,638 M",Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Storage & Transportation
TRIP,TRIPADVISOR INC COM,TRIPADVISOR INC,"3,437 M",Communication Services,Interactive Media & Services,Interactive Media & Services
TRMK,TRUSTMARK CORP COM,TRUSTMARK CORPORATION,"1,839 M",Financials,Banks,Regional Banks
TRN,TRINITY INDUSTRIES INC COM,"TRINITY INDUSTRIES, INC.","2,106 M",Industrials,Machinery,Construction Machinery & Heavy Trucks
TTC,TORO CO COM,TORO CO,"9,157 M",Industrials,Machinery,Agricultural & Farm Machinery
TTEK,TETRA TECH INC COM,"TETRA TECH, INC.","7,485 M",Industrials,Commercial Services & Supplies,Environmental & Facilities Services
TXRH,TEXAS ROADHOUSE INC COM,"TEXAS ROADHOUSE, INC.","5,437 M",Consumer Discretionary,"Hotels, Restaurants & Leisure",Restaurants
UBSI,UNITED BANKSHARES INC COM,"UNITED BANKSHARES, INC.","5,022 M",Financials,Banks,Regional Banks
UE,URBAN EDGE PROPERTIES COM USD0.01,URBAN EDGE PROPERTIES,"2,137 M",Real Estate,Equity Real Estate Investment Trusts (REITs),Retail REITs
UGI,UGI CORP COM,UGI CORPORATION,"9,279 M",Utilities,Gas Utilities,Gas Utilities
UMBF,UMB FINANCIAL CORP COM,UMB FINANCIAL CORP,"4,478 M",Financials,Banks,Regional Banks
UMPQ,UMPQUA HOLDINGS CORP COM,UMPQUA HOLDINGS CORPORATION,"3,837 M",Financials,Banks,Regional Banks
UNVR,UNIVAR SOLUTIONS INC COM,UNIVAR SOLUTIONS INC,"5,436 M",Industrials,Trading Companies & Distributors,Trading Companies & Distributors
URBN,URBAN OUTFITTERS INC COM,URBAN OUTFITTERS INC,"2,069 M",Consumer Discretionary,Specialty Retail,Apparel Retail
UTHR,UNITED THERAPEUTICS CORP COM,UNITED THERAPEUTICS CORPORATION,"10,453 M",Health Care,Biotechnology,Biotechnology
VAC,MARRIOTT VACATIONS WORLDWIDE C COM,MARRIOTT VACATIONS WORLDWIDE CORPORATION,"6,115 M",Consumer Discretionary,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines"
VC,VISTEON CORPORATION COM,VISTEON CORPORATION,"3,101 M",Consumer Discretionary,Auto Components,Auto Parts & Equipment
VLY,VALLEY NATIONAL BANCORP COM,VALLEY NATIONAL BANCORP,"6,347 M",Financials,Banks,Regional Banks
VMI,VALMONT INDUSTRIES INC COM,"VALMONT INDUSTRIES, INCORPORATED","5,521 M",Industrials,Construction & Engineering,Construction & Engineering
VNT,VONTIER CORP COM,VONTIER CORP,"4,360 M",Information Technology,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments
VSAT,VIASAT INC COM,"VIASAT, INC.","2,942 M",Information Technology,Communications Equipment,Communications Equipment
VSCO,VICTORIAS SECRET AND CO COM,VICTORIA'S SECRET & CO,"3,583 M",Consumer Discretionary,Specialty Retail,Apparel Retail
VSH,VISHAY INTERTECHNOLOGY INC COM,VISHAY INTERTECHNOLOGY INCORPORATED,"2,932 M",Information Technology,"Electronic Equipment, Instruments & Components",Electronic Components
VVV,VALVOLINE INC COM,VALVOLINE INC,"6,109 M",Materials,Chemicals,Commodity Chemicals
WAFD,WASHINGTON FEDERAL INC COM,WASHINGTON FEDERAL INCORPORATED,"2,136 M",Financials,Banks,Regional Banks
WBS,WEBSTER FINANCIAL CORP COM,WEBSTER FINANCIAL CORPORATION,"8,914 M",Financials,Banks,Regional Banks
WEN,WENDYS COMPANY (THE) COM,WENDYS COMPANY,"4,021 M",Consumer Discretionary,"Hotels, Restaurants & Leisure",Restaurants
WERN,WERNER ENTERPRISES INC COM,"WERNER ENTERPRISES, INC.","2,671 M",Industrials,Road & Rail,Trucking
WEX,WEX INC COM,WEX INC,"7,698 M",Information Technology,IT Services,Data Processing & Outsourced Services
WH,WYNDHAM HOTELS & RESORTS INC COM,WYNDHAM HOTELS & RESORTS INC,"7,383 M",Consumer Discretionary,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines"
WING,WINGSTOP INC COM,WINGSTOP INC,"2,306 M",Consumer Discretionary,"Hotels, Restaurants & Leisure",Restaurants
WOR,WORTHINGTON INDUSTRIES INC COM,"WORTHINGTON INDUSTRIES, INC","2,331 M",Materials,Metals & Mining,Steel
WSM,WILLIAMS-SONOMA INC COM,"WILLIAMS-SONOMA, INC.","8,689 M",Consumer Discretionary,Specialty Retail,Homefurnishing Retail
WSO,WATSCO INC COM,WATSCO INC,"10,163 M",Industrials,Trading Companies & Distributors,Trading Companies & Distributors
WTFC,WINTRUST FINANCIAL CORP COM,WINTRUST FINANCIAL CORPORATION,"5,144 M",Financials,Banks,Regional Banks
WTRG,ESSENTIAL UTILITIES INC COM,ESSENTIAL UTILITIES INC,"12,359 M",Utilities,Water Utilities,Water Utilities
WW,WW INTERNATIONAL INC COM,WW INTERNATIONAL INC,546 M,Consumer Discretionary,Diversified Consumer Services,Specialized Consumer Services
WWD,WOODWARD INC COM,WOODWARD INC,"6,190 M",Industrials,Aerospace & Defense,Aerospace & Defense
WWE,WORLD WRESTLING ENTERTAINMENT COM CL A,"WORLD WRESTLING ENTERTAINMENT, INC.","4,989 M",Communication Services,Entertainment,Movies & Entertainment
X,UNITED STATES STEEL CORP COM,UNITED STATES STEEL CORPORATION,"6,508 M",Materials,Metals & Mining,Steel
XEC,CIMAREX ENERGY CO 4.0146:1 EXC 10/1/21 127097103,CIMAREX ENERGY CO,"8,965 M",Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production
XPO,XPO LOGISTICS INC COM,XPO LOGISTICS INC,"6,413 M",Industrials,Road & Rail,Trucking
XRX,XEROX HOLDINGS CORPORATION COM,XEROX HOLDINGS CORP,"2,918 M",Information Technology,"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals"
Y,ALLEGHANY CORP COM,ALLEGHANY CORPORATION,"11,219 M",Financials,Insurance,Reinsurance
YELP,YELP INC COM CL A,YELP INC,"2,131 M",Communication Services,Interactive Media & Services,Interactive Media & Services
YETI,YETI HOLDINGS INC COM,YETI HOLDINGS INC,"4,034 M",Consumer Discretionary,Leisure Products,Leisure Products
